SMILES,IC50 (nM)
N#CC(=CC1CC1)C(=O)N1CCC[C@@H]1Cn1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21, 1.8
C=CC(=O)N1CC[C@@H](n2nc(-c3ccc(Oc4cccc(F)c4F)nc3F)c3c(N)ncnc32)C1, 1.80
Nc1nccn2c([C@H]3CC[C@@H]4COCCN4C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c12, 1.8
C=CC(=O)N1CCC(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1, 1.8
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3cnn(Cc4cccc(OC)c4)c3)nc3[nH]cc(Cl)c23)C1, 1.80
N#CC(=CC1CC1)C(=O)N1CCC[C@H]1Cn1nc(-c2ccc(Oc3cccc(F)c3F)cc2F)c2c(N)ncnc21, 1.8
C=CC(=O)N(C)CC/C=C/c1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2)c1C, 1.8
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1, 1.8
Cc1c(-c2c(Cl)cc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O, 1.8
C=CC(=O)N1CCC[C@@H](Sc2nc(Nc3cnn(C(C)(C)C)c3)nc3[nH]nc(Cl)c23)C1, 1.80
N#CN1CCCC(n2nc(-c3ccc(Oc4ccc(Cl)cc4Cl)cc3)c(C(N)=O)c2N)C1, 1.80
C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3cnn(C(C)C)c3)nc3[nH]nc(Cl)c23)C1, 1.80
CC#CC(=O)N1CC[C@]2(C1)C[C@H](n1nc(-c3cnn(Cc4ccccc4C#N)c3)c(C(N)=O)c1N)C2, 1.80
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(NC(=O)c4ccc(C(F)(F)F)cc4)c4c3OCO4)c3c(N)ncnc32)C1, 1.8
N#CN1CCCC(n2nc(-c3ccc(Oc4ccc(F)c(Cl)c4)cc3)c(C(N)=O)c2N)C1, 1.80
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(NC(=O)c4cccc(Cl)c4)c4c3OCO4)c3c(N)ncnc32)C1, 1.8
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1, 1.8
C=CC(=O)N1CC[C@@H](C)[C@@H](Nc2nc(Nc3cnn(CC)c3)nc3[nH]ncc23)C1, 1.80
O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@H]3CC[C@H](O)[C@H](O)C3)c12, 1.80
CC#CC(=O)N(C)[C@@H](C)c1nc(-c2ccc(C(=O)Nc3ccc(C)cn3)cc2)c2c(N)nccn12, 1.80
Cc1cc(-c2ccnc(Nc3ccccc3)n2)ccc1CNC(=O)c1cnc(C(C)(C)C)s1, 1.8
C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1, 1.8
O=C(c1ccc(Oc2ccccc2)cc1Cl)c1c[nH]c2ncnc(N[C@H]3CC[C@@H](O)[C@@H](O)C3)c12, 1.80
N#CN1CCCC(n2nc(-c3ccc(Oc4ccc(F)c(Cl)c4)cc3)c(C(N)=O)c2N)C1, 1.80
